meter_id,meter_name,meter_type,latitude,longitude,county,state,segment,station_group,pipe_diameter_in,capacity_dth,operator,status
OKT-DN1-01,Del Norte 1,RECEIPT,31.752,-106.443,El Paso,TX,West Texas — El Paso,DEL NORTE #1,24,145000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN1-02,Juarez MGI,DELIVERY,31.76,-106.452,El Paso,TX,West Texas — El Paso,DEL NORTE #1,16,43000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN4-01,7164 Gillette Rd,DELIVERY,31.898,-106.618,El Paso,TX,West Texas — El Paso,DEL NORTE #4,16,40000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN4-02,7218 Gillette Rd,DELIVERY,31.901,-106.62,El Paso,TX,West Texas — El Paso,DEL NORTE #4,16,50000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN4-03,Canutillo State Line B.S.,BIDIRECTIONAL,31.91,-106.606,El Paso,TX,West Texas — El Paso,DEL NORTE #4,24,116000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN4-04,El Paso Canutillo,DELIVERY,31.912,-106.598,El Paso,TX,West Texas — El Paso,DEL NORTE #4,16,60000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN4-05,Gato Rd.,DELIVERY,31.893,-106.62,El Paso,TX,West Texas — El Paso,DEL NORTE #4,16,76000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN4-06,PNM-Canutillo,DELIVERY,31.919,-106.602,El Paso,TX,West Texas — El Paso,DEL NORTE #4,16,37000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN4-07,Strahan Rd,DELIVERY,31.905,-106.604,El Paso,TX,West Texas — El Paso,DEL NORTE #4,16,68000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN4-08,TGS-Canutillo,DELIVERY,31.921,-106.592,El Paso,TX,West Texas — El Paso,DEL NORTE #4,16,74000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN4-09,WGI Canutillo,DELIVERY,31.914,-106.586,El Paso,TX,West Texas — El Paso,DEL NORTE #4,16,40000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN5-01,Anthony Farmer's Gin,RECEIPT,32.003,-106.603,El Paso,TX,West Texas — El Paso,DEL NORTE #5,24,112000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN5-02,El Paso Anthony,DELIVERY,32.001,-106.598,El Paso,TX,West Texas — El Paso,DEL NORTE #5,16,56000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN5-03,FM RD 1905,DELIVERY,31.994,-106.61,El Paso,TX,West Texas — El Paso,DEL NORTE #5,16,76000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN5-04,Frank Lehman,BIDIRECTIONAL,32.006,-106.612,El Paso,TX,West Texas — El Paso,DEL NORTE #5,24,127000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN5-05,PNM-Anthony,BIDIRECTIONAL,32.012,-106.601,El Paso,TX,West Texas — El Paso,DEL NORTE #5,24,75000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-DN5-06,TGS-Anthony,BIDIRECTIONAL,32.004,-106.591,El Paso,TX,West Texas — El Paso,DEL NORTE #5,24,126000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-OK1-01,Jackson T. Hardeman,RECEIPT,34.302,-99.742,Hardeman,TX,Red River Border,OK #1,24,103000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-OK1-02,OK-1 Atmos FT624,DELIVERY,34.308,-99.732,Harmon,OK,Red River Border,OK #1,16,56000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-OK1-03,OK-1 Atmos FT688,DELIVERY,34.311,-99.724,Harmon,OK,Red River Border,OK #1,16,31000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-OK1-04,OK-1 CB (192135),DELIVERY,34.299,-99.75,Hardeman,TX,Red River Border,OK #1,16,49000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
OKT-OK2-01,Jackson T. Wilbarger,RECEIPT,34.142,-99.098,Wilbarger,TX,Red River Border,OK #2,24,112000,"OkTex Pipeline Company, L.L.C. (TSP 80-002-2246)",ACTIVE
