gas_day,meter_id,scheduled_dth,actual_dth,pressure_psig,temperature_f,variance_pct
2026-06-30,OKT-DN1-01,85716,85485,829.4,82.4,-0.27
2026-06-30,OKT-DN1-02,8773,8272,682.1,81.9,-5.71
2026-06-30,OKT-DN4-01,10215,9680,894.8,84.5,-5.24
2026-06-30,OKT-DN4-02,11542,11278,797.9,79.4,-2.29
2026-06-30,OKT-DN4-03,20971,21419,795.2,76.4,2.13
2026-06-30,OKT-DN4-04,15417,16122,801.4,86.9,4.57
2026-06-30,OKT-DN4-05,14226,14838,719.3,78.7,4.3
2026-06-30,OKT-DN4-06,8827,8589,836.1,76.3,-2.7
2026-06-30,OKT-DN4-07,12084,12254,696.2,79.7,1.4
2026-06-30,OKT-DN4-08,19058,18514,705.5,82.3,-2.85
2026-06-30,OKT-DN4-09,9042,9526,904.9,79.1,5.36
2026-06-30,OKT-DN5-01,55189,57849,775.8,78.4,4.82
2026-06-30,OKT-DN5-02,11899,11429,784.8,80.9,-3.95
2026-06-30,OKT-DN5-03,16911,16569,801.8,84.7,-2.02
2026-06-30,OKT-DN5-04,33004,34476,697.1,86.6,4.46
2026-06-30,OKT-DN5-05,14173,14637,710.1,80.3,3.27
2026-06-30,OKT-DN5-06,28150,27622,871.8,79.6,-1.88
2026-06-30,OKT-OK1-01,67171,64988,822.2,84.1,-3.25
2026-06-30,OKT-OK1-02,14180,13685,754.4,87.3,-3.49
2026-06-30,OKT-OK1-03,7306,7714,729.6,79.3,5.59
2026-06-30,OKT-OK1-04,11716,12086,686.1,84.2,3.16
2026-06-30,OKT-OK2-01,51564,53614,806.7,80.7,3.98
2026-06-30,OKT-OK2-02,15067,15560,840.0,84.0,3.27
2026-06-30,OKT-OK3-01,55659,57346,719.7,76.5,3.03
2026-06-30,OKT-OK3-02,15779,15466,753.3,80.4,-1.99
2026-06-30,OKT-OK3-03,12868,12306,712.3,82.8,-4.37
2026-06-30,OKT-OK4-01,28355,27757,885.8,82.8,-2.11
2026-06-30,OKT-OK4-02,71558,74697,739.9,83.1,4.39
2026-06-30,OKT-OK9-01,17713,17021,815.8,81.5,-3.91
2026-06-30,OKT-OK9-02,12112,11921,914.9,85.7,-1.58
2026-06-30,OKT-OK9-03,11560,12201,906.4,83.6,5.54
2026-06-30,OKT-OK9-04,9175,8894,795.7,78.2,-3.06
2026-06-30,OKT-OK9-05,13319,13128,861.5,84.6,-1.44
2026-06-30,OKT-OK9-06,59636,59820,907.2,79.5,0.31
2026-06-30,OKT-OK9-07,16982,17517,939.1,82.5,3.15
2026-06-30,OKT-OK9-08,8810,8294,781.5,87.6,-5.86
2026-06-30,OKT-OK9-09,4747,4500,823.6,81.1,-5.21
2026-06-30,OKT-O12-01,5056,5183,661.6,83.5,2.52
2026-06-30,OKT-O12-02,15872,15811,907.9,87.7,-0.38
2026-06-30,OKT-O12-03,67640,64490,786.5,85.9,-4.66
2026-06-30,OKT-O12-04,15195,15795,855.0,83.5,3.95
2026-06-30,OKT-O11-01,18908,19682,812.5,84.4,4.09
2026-06-30,OKT-O11-02,25937,26780,755.6,87.6,3.25
2026-07-01,OKT-DN1-01,89971,93037,830.2,76.1,3.41
2026-07-01,OKT-DN1-02,9176,8833,713.7,82.9,-3.74
2026-07-01,OKT-DN4-01,10684,11038,816.8,76.2,3.31
2026-07-01,OKT-DN4-02,12071,12792,716.7,80.0,5.97
2026-07-01,OKT-DN4-03,21934,22083,676.8,85.1,0.68
2026-07-01,OKT-DN4-04,16124,15699,916.3,83.2,-2.63
2026-07-01,OKT-DN4-05,14879,15068,910.1,87.7,1.27
2026-07-01,OKT-DN4-06,9232,9597,834.7,87.4,3.95
2026-07-01,OKT-DN4-07,12639,13014,664.4,79.6,2.97
2026-07-01,OKT-DN4-08,19932,20763,928.8,81.6,4.17
2026-07-01,OKT-DN4-09,9456,8978,709.7,81.6,-5.06
2026-07-01,OKT-DN5-01,57928,57398,716.2,83.7,-0.92
2026-07-01,OKT-DN5-02,12444,11911,725.3,81.3,-4.28
2026-07-01,OKT-DN5-03,17686,18590,861.7,79.9,5.11
2026-07-01,OKT-DN5-04,34519,36016,744.7,79.4,4.34
2026-07-01,OKT-DN5-05,14823,14251,668.0,76.8,-3.86
2026-07-01,OKT-DN5-06,29442,30823,930.0,76.6,4.69
2026-07-01,OKT-OK1-01,70505,68165,840.6,83.6,-3.32
2026-07-01,OKT-OK1-02,14831,15173,872.5,83.4,2.31
2026-07-01,OKT-OK1-03,7641,7852,828.5,76.2,2.77
2026-07-01,OKT-OK1-04,12253,12202,808.0,84.2,-0.42
2026-07-01,OKT-OK2-01,54123,54412,872.7,76.5,0.53
2026-07-01,OKT-OK2-02,15758,15359,868.0,78.8,-2.53
2026-07-01,OKT-OK3-01,58422,59547,848.0,87.3,1.93
2026-07-01,OKT-OK3-02,16503,15646,922.4,83.7,-5.19
2026-07-01,OKT-OK3-03,13458,13562,890.0,76.2,0.77
2026-07-01,OKT-OK4-01,29656,30402,790.2,76.8,2.51
2026-07-01,OKT-OK4-02,75110,79577,847.6,87.6,5.95
2026-07-01,OKT-OK9-01,18526,17968,893.5,83.1,-3.01
2026-07-01,OKT-OK9-02,12668,13000,694.1,85.2,2.62
2026-07-01,OKT-OK9-03,12091,12173,879.4,82.5,0.68
2026-07-01,OKT-OK9-04,9596,9994,742.8,85.1,4.15
2026-07-01,OKT-OK9-05,13930,14413,738.2,86.9,3.46
2026-07-01,OKT-OK9-06,62596,62876,925.5,80.1,0.45
2026-07-01,OKT-OK9-07,17761,17955,866.2,84.7,1.09
2026-07-01,OKT-OK9-08,9214,9652,751.9,82.5,4.75
2026-07-01,OKT-OK9-09,4965,4975,664.1,78.9,0.22
2026-07-01,OKT-O12-01,5288,5423,888.9,83.7,2.55
2026-07-01,OKT-O12-02,16600,16089,693.1,76.3,-3.08
2026-07-01,OKT-O12-03,70997,69233,721.5,82.5,-2.48
2026-07-01,OKT-O12-04,15892,15463,915.9,76.9,-2.7
2026-07-01,OKT-O11-01,19776,19302,712.7,79.5,-2.4
2026-07-01,OKT-O11-02,27127,28482,791.4,83.0,4.99
