seq,latitude,longitude,segment_name
1,31.752,-106.443,West Texas — El Paso lateral
2,31.812,-106.52,West Texas — El Paso lateral
3,31.91,-106.606,West Texas — El Paso lateral
4,32.003,-106.603,West Texas — El Paso lateral
5,35.8,-100.24,Oklahoma mainline (OK-09)
6,35.869,-99.799,Oklahoma mainline (OK-09)
7,35.812,-99.462,Oklahoma mainline (OK-09)
8,35.86,-99.2,Oklahoma mainline (OK-09)
9,35.899,-98.966,Oklahoma mainline (OK-09)
10,35.782,-100.15,Reydon stub (OK-09)
11,35.66,-100.1,Reydon stub (OK-09)
12,35.44,-100.05,Caprock segment (OK-11)
13,35.355,-99.945,Caprock segment (OK-11)
14,35.28,-99.86,Caprock segment (OK-11)
15,36.662,-98.044,Enogex line (OK-12)
16,36.282,-98.26,Enogex line (OK-12)
17,36.094,-97.787,Enogex line (OK-12)
